Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 20250211
  cutoff: 10

      |#Vis|  BEIDOU-2 I   BEIDOU-2 G   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 G   BEIDOU-2 M   BEIDOU-2 M   BEIDOU-2 M   BEIDOU-2 G   BEIDOU-3S  
              GSO-1 (C06   4 (C04)      GSO-2 (C07   GSO-3 (C08   GSO-4 (C09   GSO-5 (C10   5 (C05)      3 (C11)      4 (C12)      6 (C14)      6 (C02)      IGSO-1S (C 

10:35 | 14 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   22.5  44.3   27.0 163.8   ---- -----   ---- -----   ---- ----- 
10:40 | 13 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   21.2  43.0   29.1 163.2   ---- -----   ---- -----   ---- ----- 
10:45 | 14 |  11.0 285.7   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   19.9  41.8   31.1 162.6   ---- -----   ---- -----   ---- ----- 
10:50 | 14 |  12.6 286.7   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   18.5  40.7   33.2 161.9   ---- -----   ---- -----   ---- ----- 
10:55 | 14 |  14.3 287.6   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   17.1  39.7   35.3 161.2   ---- -----   ---- -----   ---- ----- 
11:00 | 14 |  15.9 288.5   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   15.6  38.8   37.4 160.4   ---- -----   ---- -----   ---- ----- 
11:05 | 14 |  17.6 289.4   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   14.1  38.0   39.5 159.6   ---- -----   ---- -----   ---- ----- 
11:10 | 13 |  19.3 290.3   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   12.5  37.2   41.6 158.6   ---- -----   ---- -----   ---- ----- 
11:15 | 14 |  21.1 291.1   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   10.9  36.6   43.7 157.6   ---- -----   ---- -----   ---- ----- 
11:20 | 13 |  22.8 291.9   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   45.8 156.4   ---- -----   ---- -----   ---- ----- 
11:25 | 12 |  24.6 292.7   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   47.8 155.1   ---- -----   ---- -----   ---- ----- 
11:30 | 12 |  26.3 293.4   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   49.8 153.6   ---- -----   ---- -----   ---- ----- 
11:35 | 11 |  28.1 294.0   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   51.8 152.0   ---- -----   ---- -----   ---- ----- 
11:40 | 11 |  29.9 294.7   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   53.7 150.1   ---- -----   ---- -----   ---- ----- 
11:45 | 11 |  31.8 295.2   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   55.6 147.9   ---- -----   ---- -----   ---- ----- 
11:50 | 11 |  33.6 295.7   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   57.4 145.5   ---- -----   ---- -----   ---- ----- 
11:55 | 12 |  35.5 296.2   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   59.1 142.8   ---- -----   ---- -----   ---- ----- 
12:00 | 12 |  37.3 296.6   10.3  62.2   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   60.7 139.7   ---- -----   ---- -----   ---- ----- 
12:05 | 11 |  39.2 296.9   11.2  61.8   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   62.2 136.1   ---- -----   ---- -----   ---- ----- 
12:10 | 11 |  41.1 297.1   12.2  61.3   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   63.5 132.2   ---- -----   ---- -----   ---- ----- 
12:15 | 12 |  43.0 297.2   13.0  60.8   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   64.7 127.9   ---- -----   ---- -----   ---- ----- 
12:20 | 12 |  44.9 297.3   13.9  60.3   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   65.6 123.1   ---- -----   ---- -----   ---- ----- 
12:25 | 12 |  46.8 297.2   14.8  59.8   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   66.3 118.1   ---- -----   ---- -----   ---- ----- 
12:30 | 12 |  48.8 296.9   15.6  59.2   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   66.7 112.7   ---- -----   ---- -----   ---- ----- 
12:35 | 13 |  50.7 296.5   16.4  58.6   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   66.9 107.2   ---- -----   ---- -----   ---- ----- 
12:40 | 13 |  52.6 296.0   17.2  58.0   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   66.8 101.8   ---- -----   ---- -----   ---- ----- 
12:45 | 13 |  54.5 295.2   17.9  57.4   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   66.5  96.5   ---- -----   ---- -----   ---- ----- 
12:50 | 13 |  56.4 294.2   18.6  56.8   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   65.9  91.4   ---- -----   ---- -----   ---- ----- 
12:55 | 13 |  58.2 292.9   19.3  56.1   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   65.1  86.8   ---- -----   ---- -----   ---- ----- 
13:00 | 13 |  60.1 291.4   20.0  55.4   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   64.0  82.6   ---- -----   ---- -----   ---- ----- 
13:05 | 12 |  61.8 289.4   20.6  54.8   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   62.8  78.8   ---- -----   ---- -----   ---- ----- 
13:10 | 13 |  63.5 287.0   21.2  54.0   ---- -----   ---- -----   11.3 308.1   ---- -----   ---- -----   ---- -----   61.5  75.5   ---- -----   ---- -----   ---- ----- 
13:15 | 13 |  65.2 284.2   21.8  53.3   ---- -----   ---- -----   13.0 308.4   ---- -----   ---- -----   ---- -----   60.0  72.6   ---- -----   ---- -----   ---- ----- 



      |#Vis|  BEIDOU-3 G   BEIDOU-3 G   BEIDOU-3 M   BEIDOU-3 M 
              3 (C61)      4 (C62)      28 (C50)     26 (C48)   

10:00 | 15 |  ---- -----   ---- -----   ---- -----   ---- ----- 
10:05 | 15 |  ---- -----   ---- -----   ---- -----   ---- ----- 
10:10 | 16 |  ---- -----   ---- -----   ---- -----   ---- ----- 
10:15 | 16 |  ---- -----   ---- -----   ---- -----   ---- ----- 
10:20 | 16 |  ---- -----   ---- -----   ---- -----   ---- ----- 
10:25 | 15 |  ---- -----   ---- -----   ---- -----   ---- ----- 
10:30 | 14 |  ---- -----   ---- -----   ---- -----   ---- ----- 
10:35 | 14 |  ---- -----   ---- -----   ---- -----   ---- ----- 
10:40 | 13 |  ---- -----   ---- -----   ---- -----   ---- ----- 
10:45 | 14 |  ---- -----   ---- -----   ---- -----   ---- ----- 
10:50 | 14 |  ---- -----   ---- -----   ---- -----   ---- ----- 
10:55 | 14 |  ---- -----   ---- -----   ---- -----   ---- ----- 
11:00 | 14 |  ---- -----   ---- -----   ---- -----   ---- ----- 
11:05 | 14 |  ---- -----   ---- -----   ---- -----   ---- ----- 
11:10 | 13 |  ---- -----   ---- -----   ---- -----   ---- ----- 
11:15 | 14 |  ---- -----   ---- -----   ---- -----   10.1 331.2 
11:20 | 13 |  ---- -----   ---- -----   ---- -----   10.4 329.5 
11:25 | 12 |  ---- -----   ---- -----   ---- -----   10.7 327.7 
11:30 | 12 |  ---- -----   ---- -----   ---- -----   10.8 326.0 
11:35 | 11 |  ---- -----   ---- -----   ---- -----   10.9 324.2 
11:40 | 11 |  ---- -----   ---- -----   ---- -----   10.9 322.4 
11:45 | 11 |  ---- -----   ---- -----   ---- -----   10.7 320.6 
11:50 | 11 |  ---- -----   ---- -----   ---- -----   10.5 318.8 
11:55 | 12 |  ---- -----   ---- -----   ---- -----   10.2 317.0 
12:00 | 12 |  ---- -----   ---- -----   ---- -----   ---- ----- 
12:05 | 11 |  ---- -----   ---- -----   ---- -----   ---- ----- 
12:10 | 11 |  ---- -----   ---- -----   ---- -----   ---- ----- 
12:15 | 12 |  ---- -----   ---- -----   ---- -----   ---- ----- 
12:20 | 12 |  ---- -----   ---- -----   ---- -----   ---- ----- 
12:25 | 12 |  ---- -----   ---- -----   ---- -----   ---- ----- 
12:30 | 12 |  ---- -----   ---- -----   ---- -----   ---- ----- 
12:35 | 13 |  ---- -----   ---- -----   ---- -----   ---- ----- 
12:40 | 13 |  ---- -----   ---- -----   ---- -----   ---- ----- 
12:45 | 13 |  ---- -----   ---- -----   ---- -----   ---- ----- 
12:50 | 13 |  ---- -----   ---- -----   ---- -----   ---- ----- 
12:55 | 13 |  ---- -----   ---- -----   ---- -----   ---- ----- 
13:00 | 13 |  ---- -----   ---- -----   ---- -----   ---- ----- 
13:05 | 12 |  ---- -----   ---- -----   ---- -----   ---- ----- 
13:10 | 13 |  ---- -----   ---- -----   ---- -----   ---- ----- 
13:15 | 13 |  ---- -----   ---- -----   ---- -----   ---- ----- 
