Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 20250211
  cutoff: 10

      |#Vis|  BEIDOU-2 I   BEIDOU-2 G   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 G   BEIDOU-2 M   BEIDOU-2 M   BEIDOU-2 M   BEIDOU-2 G   BEIDOU-3S  
              GSO-1 (C06   4 (C04)      GSO-2 (C07   GSO-3 (C08   GSO-4 (C09   GSO-5 (C10   5 (C05)      3 (C11)      4 (C12)      6 (C14)      6 (C02)      IGSO-1S (C 

12:35 | 13 |  ---- -----   ---- -----   ---- -----   14.8  75.3   ---- -----   ---- -----   11.8 119.9   51.7  65.7   ---- -----   ---- -----   ---- -----   17.3  55.3 
12:40 | 13 |  ---- -----   ---- -----   ---- -----   15.9  74.8   ---- -----   ---- -----   11.8 119.8   50.3  63.4   ---- -----   ---- -----   ---- -----   16.7  55.8 
12:45 | 13 |  ---- -----   ---- -----   ---- -----   17.0  74.4   ---- -----   ---- -----   11.8 119.8   48.8  61.4   ---- -----   ---- -----   ---- -----   16.1  56.2 
12:50 | 13 |  ---- -----   ---- -----   ---- -----   18.1  73.9   ---- -----   ---- -----   11.9 119.8   47.2  59.6   ---- -----   ---- -----   ---- -----   15.5  56.7 
12:55 | 13 |  ---- -----   ---- -----   ---- -----   19.2  73.4   ---- -----   ---- -----   11.9 119.8   45.6  58.0   ---- -----   ---- -----   ---- -----   14.9  57.2 
13:00 | 13 |  ---- -----   ---- -----   ---- -----   20.2  72.9   ---- -----   ---- -----   11.9 119.7   43.9  56.7   ---- -----   ---- -----   ---- -----   14.3  57.7 
13:05 | 12 |  ---- -----   ---- -----   ---- -----   21.2  72.3   ---- -----   ---- -----   12.0 119.7   42.2  55.5   ---- -----   ---- -----   ---- -----   13.7  58.2 
13:10 | 13 |  ---- -----   ---- -----   ---- -----   22.2  71.7   ---- -----   ---- -----   12.0 119.7   40.4  54.5   ---- -----   ---- -----   ---- -----   13.2  58.7 
13:15 | 13 |  ---- -----   ---- -----   ---- -----   23.2  71.1   ---- -----   ---- -----   12.0 119.7   38.6  53.7   ---- -----   ---- -----   ---- -----   12.6  59.3 



      |#Vis|  BEIDOU-3S    BEIDOU-3S    BEIDOU-3S    BEIDOU-2 I   BEIDOU-2 G   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 M 
              M2S (C58)    M1S (C57)    IGSO-2S (C   GSO-6 (C13   7 (C03)      1 (C19)      2 (C20)      7 (C27)      8 (C28)      4 (C22)      3 (C21)      9 (C29)    

10:00 | 15 |  ---- -----   15.7  35.3   18.0  54.8   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
10:05 | 15 |  ---- -----   14.5  34.1   17.5  55.2   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
10:10 | 16 |  ---- -----   13.2  32.9   16.9  55.6   ---- -----   ---- -----   ---- -----   10.3 334.7   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
10:15 | 16 |  ---- -----   11.8  31.8   16.3  56.0   ---- -----   ---- -----   ---- -----   11.3 333.2   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
10:20 | 16 |  ---- -----   10.5  30.8   15.7  56.5   ---- -----   ---- -----   ---- -----   12.2 331.7   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
10:25 | 15 |  ---- -----   ---- -----   15.1  56.9   ---- -----   ---- -----   ---- -----   13.0 330.1   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
10:30 | 14 |  ---- -----   ---- -----   14.5  57.4   ---- -----   ---- -----   ---- -----   13.7 328.5   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
10:35 | 14 |  ---- -----   ---- -----   13.9  58.0   ---- -----   ---- -----   ---- -----   14.3 326.8   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
10:40 | 13 |  ---- -----   ---- -----   13.4  58.5   ---- -----   ---- -----   ---- -----   14.9 325.0   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
10:45 | 14 |  ---- -----   ---- -----   12.8  59.0   ---- -----   ---- -----   ---- -----   15.3 323.2   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
10:50 | 14 |  ---- -----   ---- -----   12.2  59.6   ---- -----   ---- -----   ---- -----   15.7 321.4   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
10:55 | 14 |  ---- -----   ---- -----   11.6  60.2   ---- -----   ---- -----   ---- -----   15.9 319.5   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
11:00 | 14 |  ---- -----   ---- -----   11.1  60.8   ---- -----   ---- -----   ---- -----   16.1 317.6   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
11:05 | 14 |  ---- -----   ---- -----   10.5  61.5   ---- -----   ---- -----   ---- -----   16.2 315.7   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
11:10 | 13 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   16.1 313.8   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
11:15 | 14 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   16.0 311.9   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
11:20 | 13 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   15.8 310.0   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
11:25 | 12 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   15.4 308.1   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
11:30 | 12 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   15.0 306.2   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
11:35 | 11 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   14.5 304.3   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
11:40 | 11 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   13.9 302.4   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
11:45 | 11 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   13.2 300.6   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
11:50 | 11 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   12.5 298.8   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
