Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 20250211

           BEIDOU-2 I    BEIDOU-2 G    BEIDOU-2 I    BEIDOU-2 I    BEIDOU-2 I    BEIDOU-2 I    BEIDOU-2 G    BEIDOU-2 M    BEIDOU-2 M    BEIDOU-2 M    BEIDOU-2 G    BEIDOU-3S   
           GSO-1 (C06    4 (C04)       GSO-2 (C07    GSO-3 (C08    GSO-4 (C09    GSO-5 (C10    5 (C05)       3 (C11)       4 (C12)       6 (C14)       6 (C02)       IGSO-1S (C 

11:55 |  -53.2  100.4    1.9  159.9   21.6  116.8   18.3   94.5  -47.7   80.9   30.1  106.3   -1.9   58.9   43.5   40.3   54.2  111.1  -47.9   70.6   -1.8   84.1   45.8  101.7
12:00 |  -53.4  101.2    1.9  159.9   20.7  116.5   19.4   93.9  -48.4   81.3   29.3  106.2   -1.8   58.9   45.0   41.6   53.5  113.6  -46.6   72.2   -1.7   84.2   45.3  102.1
12:05 |  -53.7  102.1    1.9  159.9   19.8  116.2   20.5   93.4  -49.0   81.8   28.4  106.0   -1.8   58.9   46.4   43.0   52.6  115.9  -45.2   73.6   -1.7   84.2   44.7  102.5
12:10 |  -53.9  102.9    2.0  159.9   18.9  115.9   21.5   92.8  -49.6   82.3   27.6  105.8   -1.8   58.9   47.7   44.5   51.6  118.1  -43.7   74.9   -1.6   84.2   44.2  102.8
12:15 |  -54.0  103.8    2.0  159.9   18.0  115.6   22.6   92.2  -50.1   82.8   26.8  105.6   -1.7   58.9   49.0   46.2   50.6  120.1  -42.2   76.1   -1.6   84.2   43.6  103.1
12:20 |  -54.2  104.7    2.0  159.9   17.1  115.3   23.7   91.7  -50.7   83.4   25.9  105.4   -1.7   58.9   50.2   48.0   49.4  122.0  -40.7   77.1   -1.5   84.2   43.0  103.4
12:25 |  -54.2  105.5    2.1  159.9   16.2  114.9   24.8   91.1  -51.2   84.0   25.1  105.2   -1.7   58.9   51.3   50.0   48.2  123.8  -39.0   78.1   -1.4   84.2   42.4  103.6
12:30 |  -54.3  106.4    2.1  159.9   15.3  114.6   25.8   90.6  -51.7   84.6   24.2  104.9   -1.6   58.9   52.3   52.1   46.9  125.3  -37.4   78.9   -1.4   84.2   41.8  103.8
12:35 |  -54.3  107.4    2.1  159.9   14.4  114.2   26.9   90.1  -52.1   85.3   23.3  104.7   -1.6   58.9   53.2   54.3   45.5  126.8  -35.7   79.7   -1.3   84.2   41.1  104.0
12:40 |  -54.3  108.3    2.1  159.9   13.5  113.9   27.9   89.6  -52.5   86.1   22.4  104.4   -1.6   58.9   54.0   56.8   44.1  128.1  -34.0   80.4   -1.2   84.2   40.5  104.2
12:45 |  -54.2  109.1    2.2  159.9   12.5  113.5   29.0   89.1  -52.9   86.8   21.6  104.1   -1.5   58.9   54.7   59.3   42.6  129.3  -32.3   81.0   -1.2   84.2   39.8  104.3
12:50 |  -54.1  110.0    2.2  159.9   11.6  113.1   30.0   88.6  -53.2   87.6   20.7  103.8   -1.5   58.9   55.2   62.0   41.1  130.4  -30.5   81.5   -1.1   84.2   39.1  104.4
12:55 |  -54.0  110.9    2.2  159.9   10.7  112.7   31.1   88.2  -53.5   88.5   19.8  103.5   -1.4   58.9   55.7   64.7   39.5  131.4  -28.7   82.0   -1.0   84.2   38.4  104.4
13:00 |  -53.8  111.8    2.2  159.9    9.8  112.3   32.1   87.7  -53.8   89.3   18.9  103.2   -1.4   58.9   56.0   67.6   37.9  132.3  -26.9   82.4   -1.0   84.2   37.6  104.5
13:05 |  -53.6  112.6    2.3  159.9    8.8  111.9   33.1   87.3  -54.0   90.2   18.0  102.9   -1.3   58.9   56.1   70.5   36.2  133.0  -25.1   82.8   -0.9   84.2   36.9  104.5
13:10 |  -53.3  113.4    2.3  159.9    7.9  111.5   34.1   86.9  -54.2   91.1   17.1  102.6   -1.3   58.9   56.2   73.4   34.5  133.7  -23.2   83.1   -0.8   84.2   36.1  104.5
13:15 |  -53.0  114.2    2.3  159.9    7.0  111.1   35.2   86.5  -54.4   92.1   16.1  102.2   -1.3   58.9   56.0   76.3   32.8  134.3  -21.4   83.3   -0.8   84.2   35.4  104.5



           BEIDOU-3S     BEIDOU-3S     BEIDOU-3S     BEIDOU-2 I    BEIDOU-2 G    BEIDOU-3 M    BEIDOU-3 M    BEIDOU-3 M    BEIDOU-3 M    BEIDOU-3 M    BEIDOU-3 M    BEIDOU-3 M  
           M2S (C58)     M1S (C57)     IGSO-2S (C    GSO-6 (C13    7 (C03)       1 (C19)       2 (C20)       7 (C27)       8 (C28)       4 (C22)       3 (C21)       9 (C29)    

10:00 |  -55.1  -56.8   55.2  121.1   42.0  103.7  -12.3  103.8   -0.9  110.5   32.5  172.8   55.4 -136.4  -50.9  -92.1  -50.0  -29.7   -4.5  144.6  -39.6  114.0   13.7 -164.7
10:05 |  -54.9  -54.0   55.0  123.9   41.4  103.9  -11.2  103.3   -0.8  110.5   34.3  173.4   55.9 -133.6  -51.8  -89.9  -48.9  -27.8   -2.6  144.7  -38.0  114.9   11.9 -164.5
10:10 |  -54.5  -51.3   54.7  126.7   40.7  104.1  -10.1  102.7   -0.8  110.5   36.0  174.1   56.1 -130.8  -52.5  -87.6  -47.8  -26.0   -0.6  144.7  -36.3  115.7   10.0 -164.3
10:15 |  -54.0  -48.7   54.2  129.4   40.0  104.2   -9.1  102.1   -0.8  110.5   37.7  174.8   56.2 -127.8  -53.2  -85.1  -46.5  -24.3    1.3  144.8  -34.6  116.4    8.1 -164.2
10:20 |  -53.3  -46.2   53.6  131.9   39.3  104.4   -8.0  101.4   -0.7  110.5   39.3  175.7   56.2 -124.9  -53.8  -82.6  -45.2  -22.8    3.2  144.8  -32.9  117.0    6.2 -164.1
10:25 |  -52.5  -43.8   52.9  134.4   38.6  104.4   -6.9  100.8   -0.7  110.5   40.9  176.7   56.1 -122.0  -54.2  -80.0  -43.9  -21.4    5.2  144.9  -31.1  117.6    4.3 -164.0
10:30 |  -51.7  -41.5   52.1  136.7   37.9  104.5   -5.8  100.2   -0.6  110.5   42.4  177.7   55.8 -119.1  -54.5  -77.3  -42.4  -20.2    7.1  144.9  -29.3  118.1    2.4 -163.9
10:35 |  -50.7  -39.4   51.2  138.9   37.2  104.5   -4.8   99.6   -0.6  110.5   44.0  178.9   55.4 -116.3  -54.7  -74.5  -41.0  -19.0    9.0  145.0  -27.5  118.5    0.5 -163.8
10:40 |  -49.6  -37.4   50.2  141.0   36.4  104.6   -3.7   99.0   -0.6  110.5   45.4 -179.8   54.8 -113.6  -54.8  -71.7  -39.4  -17.9   11.0  145.1  -25.7  118.9   -1.4 -163.7
10:45 |  -48.5  -35.5   49.1  142.9   35.7  104.5   -2.6   98.4   -0.5  110.5   46.8 -178.4   54.1 -111.1  -54.7  -69.0  -37.9  -17.0   12.9  145.2  -23.9  119.2   -3.3 -163.6
10:50 |  -47.2  -33.8   47.9  144.6   34.9  104.5   -1.6   97.7   -0.5  110.5   48.1 -176.8   53.3 -108.6  -54.4  -66.2  -36.3  -16.1   14.8  145.3  -22.0  119.4   -5.2 -163.5
10:55 |  -45.9  -32.3   46.6  146.3   34.1  104.5   -0.5   97.1   -0.4  110.5   49.4 -175.1   52.4 -106.3  -54.1  -63.6  -34.6  -15.4   16.7  145.4  -20.1  119.7   -7.1 -163.4
11:00 |  -44.6  -30.9   45.3  147.8   33.3  104.4    0.6   96.5   -0.4  110.5   50.5 -173.2   51.4 -104.2  -53.6  -60.9  -32.9  -14.7   18.6  145.6  -18.2  119.9   -9.0 -163.3
11:05 |  -43.1  -29.6   43.9  149.1   32.5  104.3    1.7   95.9   -0.3  110.5   51.6 -171.2   50.3 -102.2  -53.0  -58.4  -31.2  -14.1   20.5  145.8  -16.4  120.1  -10.8 -163.1
11:10 |  -41.6  -28.4   42.4  150.3   31.7  104.1    2.7   95.3   -0.3  110.5   52.6 -169.0   49.1 -100.4  -52.3  -56.0  -29.5  -13.5   22.3  146.1  -14.4  120.2  -12.7 -163.0
11:15 |  -40.1  -27.3   40.9  151.5   30.8  104.0    3.8   94.6   -0.3  110.5   53.5 -166.7   47.8  -98.7  -51.5  -53.8  -27.8  -13.0   24.2  146.3  -12.5  120.3  -14.6 -162.8
11:20 |  -38.5  -26.4   39.4  152.5   30.0  103.8    4.9   94.0   -0.2  110.5   54.3 -164.2   46.5  -97.2  -50.6  -51.6  -26.0  -12.6   26.0  146.7  -10.6  120.4  -16.4 -162.6
11:25 |  -36.9  -25.5   37.8  153.4   29.1  103.7    5.9   93.4   -0.2  110.5   54.9 -161.6   45.1  -95.8  -49.5  -49.6  -24.2  -12.2   27.8  147.0   -8.7  120.5  -18.3 -162.4
11:30 |  -35.3  -24.7   36.1  154.2   28.3  103.5    7.0   92.8   -0.1  110.5   55.5 -158.9   43.6  -94.5  -48.4  -47.8  -22.4  -11.8   29.6  147.5   -6.8  120.6  -20.1 -162.1
11:35 |  -33.6  -24.0   34.5  155.0   27.4  103.3    8.1   92.2   -0.1  110.5   55.9 -156.1   42.1  -93.3  -47.3  -46.0  -20.5  -11.5   31.4  148.0   -4.8  120.6  -22.0 -161.8
11:40 |  -31.9  -23.4   32.8  155.6   26.5  103.0    9.1   91.6   -0.0  110.5   56.1 -153.2   40.5  -92.3  -46.0  -44.4  -18.7  -11.3   33.2  148.5   -2.9  120.7  -23.8 -161.5
11:45 |  -30.1  -22.8   31.0  156.2   25.7  102.8   10.2   91.0   -0.0  110.5   56.2 -150.3   38.9  -91.4  -44.7  -43.0  -16.9  -11.1   34.9  149.2   -1.0  120.7  -25.6 -161.1
11:50 |  -28.3  -22.3   29.3  156.7   24.8  102.5   11.3   90.4    0.0  110.5   56.2 -147.4   37.3  -90.5  -43.3  -41.6  -15.0  -10.9   36.6  149.9    1.0  120.7  -27.3 -160.7
11:55 |  -26.6  -21.9   27.5  157.2   23.9  102.2   12.3   89.8    0.1  110.5   56.1 -144.5   35.6  -89.8  -41.8  -40.4  -13.1  -10.7   38.3  150.7    2.9  120.8  -29.1 -160.2
